dialogue,summary
"#Person1#: I’m back. Had to change buses.
#Person2#: So where was the concert?
#Person1#: U know the club “Devil’s den”?
#Person2#: Heard of it. Never been there.
#Person1#: Well, on weekends they have concerts and on weekdays… oh, I probably shouldn’t say…
#Person2#: C’mon! Don’t leave me hanging!
#Person1#: Well, let’s say it’s a place to meet for a particular breed of ppl.
#Person2#: Particular breed of ppl? What do u mean?
#Person1#: Ppl who like to hit other ppl.
#Person2#: Oh, got it. And they’re open about it?
#Person1#: Yeah, very much.
#Person2#: But u didn’t get beaten up or anything?
#Person1#: Nah! Too tough 4 it!
#Person2#: LOL
#Person1#: What?
#Person2#: U? Tough?
#Person1#: U don’t believe me?
#Person2#: Not a bit:P
#Person1#: Lemme prove it to u! Last week I saved a cat!
#Person2#: My hero! What happened?
#Person1#: Do u have to ask?
#Person2#: Sure, ‘cause the parts you’re choosing to omit are always the best bits[WINK]
#Person1#: Well, the cat was just on the street…
#Person2#: And?
#Person1#: And that’s it!
#Person2#: Hahahaha!
#Person1#: I knew u’d laugh!
#Person2#: Sry! Just hilarious. It’s so qt u try!
#Person1#: Thanks.","#Person1# was at the concert in the ""Devil's den"" club. He saved a cat on the street last week."
"#Person1#: YOOOO HOW'S LIFE DUDEE
#Person2#: GREAT!!! YOURS?
#Person1#: AWESOMESAUCE[LAUGH] HAPPY DAYS[HAPPY] i was bored you know
#Person2#: I figured. What have you been up to?
#Person1#: Binged watched House of Cards, ate pizza, met up with Martha, slept
#Person2#: Oh how's things going with Martha?[LAUGH]
#Person1#: Not good[SAD] I tried talking to her about Saturday's party...
#Person2#: Ah[SAD] Wanna talk about it?
#Person1#: No, thanks - watched anything interesting lately.?
#Person2#: Yeah, I've recently been hooked on this show called ""Designated Survivor"" - it's really good!
#Person1#: Haven't heard of it. What's it bout?
#Person2#: Well basically in America when Congress meets, there's always one person who doesn't attend in case of a terrorist attack (they're the ""designated survivor""). So basically in the show, this guy (played by Kiefer Sutherland) becomes president after an attack, except that he doesn't want to be president.[HAPPY] It's pretty good.
#Person1#: Wasn't he the guy from Phone Booth?
#Person2#: No idea, haven't seen it","#Person1# has been watching ""House of Cards"", eating pizza, meeting up with Martha and sleeping lately. He tried to talk with Martha about Saturday's party. #Person2# recommends #Person1# to watch ""Designated Survivor""."
"#Person1#: Have you heard that Swedish police has found stolen crown jewels from 16th or 17th century??!
#Person1#: Some idiot threw them into a trash can.:o
#Person2#: you mean those regalia, which has been stolen last summer??
#Person1#: Yes!!
#Person2#::o what a crazy world we live in",Swedish police has found crown jewels from the 16th or the 17th century that were stolen last summer. They were thrown into a trash can.
"#Person1#: Have you heard about that girl that has gone missing?
#Person2#: The one from our high school, yeah...
#Person2#: That's really strange...
#Person1#: I knew her
#Person2#: Really?
#Person1#: She was doing history with me last year
#Person1#: But we weren't close
#Person1#: Pretty girl, quite shy
#Person1#: Rarely talked to anyone
#Person2#: What do you think happened to her?
#Person1#: I don't know
#Person1#: I don't think she escaped
#Person1#: I heard she had good contact with her family, they all loved each other","Last year #Person2# attended the history classes with the girl that now has gone missing. She was pretty, but quite shy, had good contact with her family."
"#Person1#: Hey
#Person2#: Hey
#Person1#: You love music?
#Person2#: Definitely.
#Person2#: Why ask?
#Person1#: My playlist is outdated.
#Person1#: I was wondering if you would share some of your updated albums
#Person2#: Sure.
#Person2#: How should i send you?
#Person2#: Or you will come and copy them directly to your phone.
#Person1#: I guess I will have to come and copy them
#Person2#: Okay. Just HMU when you arrive.
#Person1#: Cool.",#Person2# will share some of his updated albums with #Person1#. #Person1# will come and copy them directly to his phone.
"#Person1#: You know what is the worst thing about me and Hannah spliting up?
#Person1#: Sleeping alone
#Person2#: I know maan
#Person2#: When you are used to sleeping with someone
#Person2#: And suddenly there's only you in a big bed
#Person2#: Sadness and despair come to you in high dose
#Person1#: Yeah. I feel empty inside every time I go to bed.
#Person2#: Easy man.
#Person2#: You're a decent guy.
#Person2#: I'm sure someone will appear in your life very soon.
#Person1#: Thanks man.",#Person1# points out sleeping alone as the worst thing about him and Hannah spliting up.
"#Person1#: Did you see Anne today?
#Person2#: Yes, why?
#Person1#: And?
#Person2#: What do you mean?
#Person1#: You didn’t… notice her dress?
#Person2#: Oh. I DID.
#Person1#: Exactly. Someone needs to tell this poor thing yellow does not make her any good.
#Person2#: Well, it’s not going to be me.
#Person1#: Me neither. But looking at it is a misery.",Anne is wearing a yellow dress today. Neither #Person1# nor #Person2# want to tell her it doesn't make her any good.
"#Person1#: Ciao! How r u?
#Person2#: Mornin'. Fine. U?
#Person1#: Good. About tonight, I have some supplementary work to do and I don't know what time I'll get out of the office
#Person2#: Hm ok. Do you want to meet regardless?
#Person1#: I'd like to, but I really have no idea when I'm gonna finish work. I don't want to keep you waiting...
#Person2#: Okey. Let's do it this way: u let me know around 7:00 how it's going and we decide. OK?
#Person1#: Perfect! Thx!
#Person2#: For what?
#Person1#: 4 being comprehensive.
#Person2#: My pleasure[HAPPY]",#Person1# has a lot of work tonight and #Person2# inform #Person2# around 7 if she can meet him.
"#Person1#: David, are you ok?
#Person2#: yes, I am, no worries
#Person2#: everybody's writing me today
#Person3#: Sure, we're all worried
#Person3#: it looks really bad on TV
#Person2#: I was very lucky, when the tsunami hit i was inland, so didn't even know what happened
#Person2#: I found out from messages that people started sending me asking if I'm ok
#Person3#: good, the most imported you're safe
#Person1#: exactly!",#Person2# was safe when the tsunami hit.
"#Person1#: For anyone who won't make the dinner, we could always join for a drink or two afterwards?
#Person1#: Ok, maybe three drinks
#Person2#: Why stop at 3?
#Person3#: I would be in for a drink afterwards
#Person4#: For sure come for drinks! will be in the bar from around 9/9:30[HAPPY]
#Person1#: Great
#Person4#: See you later then!",They are going to meet at the bar for drinks. #Person4# will be at the bar after 9 pm.
"#Person1#: could u give me the recipe for pancakes?
#Person2#: later, k? i'm in a meeting
#Person1#: sure tx",#Person1# wants from #Person2# a recipe for pancakes.
"#Person1#: Don't like such games.
#Person2#: Y?
#Person1#: What's the fun in flying a plane?
#Person2#: And doing different missions! Like there's one where u have to defend England!
#Person1#: Still, all the same. U just fly and shoot. Boring.
#Person2#: Bt then u get to update ur plan, get better gear and deal more damage! Yeah!
#Person1#: The same with racing games. All u do is drive. Where's the fun in that?
#Person2#: Racing with other ppl? Getting up in the ranks?
#Person1#: Nah. Prefer games where u actually have to do something.
#Person2#: Like what?
#Person1#: For example - Assassin's Creed Rebellion.[HAPPY]
#Person2#: And what do u do there?
#Person1#: Tons of stuff! U can build ur castle, develop it, battle Templars and get unique characters[HAPPY]
#Person2#: Doesn't sound like something 4 me.
#Person1#: Y?
#Person2#: Well, I don't like RPGs.
#Person1#: Bt they're a lot of fun!
#Person2#: Maybe 4 u.",#Person2# doesn't like RPGs but #Person1# thinks they are fun.
"#Person1#: Do you know who discovered vitamins?
#Person2#: Casimir Funk, a Polish researcher, I believe
#Person3#: wasn't he American?
#Person4#: Wikipedia says Polish-American
#Person1#: is it important?
#Person2#: not really, but you asked
#Person1#: I asked about the person, not about your Polish nationalism:P
#Person2#: hahaha
#Person1#: you know I don't believe in nationality, all people are brothers
#Person2#: I know, it's cute
#Person1#: no, it's ethical
#Person1#: and you sound paternalistic
#Person2#: sorry","According to Wikipedia, vitamins were discovered by Casimir Funk, a Polish-American researcher."
"#Person1#: So, you've got a new job?
#Person2#: Yeah, I signed my contact last Monday.
#Person1#: What do you do?
#Person2#: I'm a secretary.
#Person1#: Where?
#Person2#: In town. For an architect.
#Person1#: Is it a permanent or a temporary job?
#Person2#: It's permanent.
#Person1#: That's great! And how are you liking it so far?
#Person2#: I love it! It's very interesting.",#Person2# got a permanent job as a secretary for an architect. #Person2# signed her contract last Monday. #Person2# loves her new job and finds it interesting.
"#Person1#: do you have a twitter account?
#Person1#: i just created an account and i want to follow you[LAUGH]
#Person2#: i'm not on twitter
#Person2#: i'm very paranoid when it comes to personal info online[CONFUSED]
#Person1#: lol i used to be like that but i gave in, lol","#Person1# has twitter and he wants to follow #Person2#. She doesn't have an account, because she isn't a fan of sharing personal information online."
"#Person1#: so did you call your grandparents or not?
#Person2#: i did yesterday
#Person1#: about time... and what did they say?
#Person2#: we can't really go to the lake house this weekend[SAD] they have some friends and family visiting and it will be occupied:/
#Person1#: oh man... seriously?! I already invited the girls!
#Person2#: I know bro, I am so sorry, I was really looking forward to it as well
#Person1#: that sucks big time
#Person2#: i know sorry bro
#Person1#: what do you propose we do now? We can't cancel the trip, it will be a disaster:/
#Person2#: how about we book something nearby? We could chip in together for some decent place...
#Person1#: are you mad?! You know I am broke:/ and the guys too
#Person2#: maybe we should ask Chris? His folks got a lake house just 30 km away
#Person1#: do you think he will go for it?
#Person2#: HE HAS TO[LAUGH]",#Person2# and #Person1# have invited some friends to a lake house this weekend but the plan has to be cancelled. #Person2# and #Person1# will ask Chris if the party can move to a lake house owned by his family.
"#Person1#: Have u finished the buckfast? With whom were u drinking it with?
#Person2#: With my new housemate Dominic. It's so disgusting. I haven't even finished even one glass.
#Person1#: Dominic seems to be a cool guy. Don’t force him to drink it.
#Person2#: Yeah, I really like him
#Person1#: Where is he from?
#Person2#: The Netherlands
#Person1#: Ahhh Dutch. The best. Chill guys.",#Person2# was drinking the Buckfast with her new housemate Dominic from the Netherlands. #Person2# thinks it is disguising. #Person1# and #Person2# like Dominic.
"#Person1#: mum has just told me you have broken your wrist?!!
#Person2#: yeah.. fortunately it’s the left one
#Person1#: how did that happen?
#Person2#: i fell off the ladder while cleaning the cupboards in the kitchen
#Person1#: jesus christ! you should have asked Tony for help!?
#Person2#: i did! I asked him several times but got bored waiting
#Person1#: oh no! you poor thing!
#Person2#: i was worried it was my whole arm when we rushed to the hospital
#Person1#: how long are you supposed to have it in plaster?
#Person2#: for about six weeks
#Person1#: how’s the pain now?
#Person2#: it was bad as hell at first but now i can barely feel it
#Person1#: that’s good. Take care of yourself girl!
#Person2#: i will don’t worry
#Person1#: and no more climbing up the ladder! I am serious! I know you!
#Person2#: ha ha! yes ma’am!",#Person2# broke her wrist when she fell off the ladder cleaning the cupboards. It will be in plaster for about six weeks.
"#Person1#: Hi, how is your day?
#Person2#: Good, going to Rome.
#Person1#: Nice, by train?
#Person2#: Yup.
#Person1#: How is the weather in Italy?
#Person2#: In Naples it's very sunny and about 15 degrees.
#Person1#: wow, here we have first snow
#Person2#: oh, must be quite disgusting
#Person1#: yes, it's winter
#Person2#: So maybe you would come over to visit?
#Person1#: That would be nice, but I'm so busy at the office now
#Person2#: Just for a few days, we could make a one day trip to Rome
#Person1#: Sounds nice, I'll talk to the people at my office, maybe I could find a replacement
#Person2#: Nice[HAPPY] I hope it'll work","#Person2# is going to Rome by train. It's winter, but the weather in Italy is good. Tim invites #Person1# to Italy. #Person1# is busy at work but will try to find a replacement."
"#Person1#: Ol, so can you go to acro today or no. I'm a little lost 😅
#Person2#: No! I wish[SAD] I have a meeting I have to go to at that time.
#Person2#: How was acro?
#Person1#: I didn't end up going. I chose to head back home.",#Person1# and #Person2# didn't go to acro today.
"#Person1#: hey, I just read about your uncle Ben's funeral after the fact, but I hope you're okay:*
#Person1#: If you need anything - tea, chocolate, someone to listen... just know that I'm here and that I'm keeping you in my thoughts and prayers:*
#Person2#: Thank you so much! For remembering, for your support and your prayers <3 I really felt it these last few days:*
#Person2#: I'm sorry that I'm only just answering now, but after yesterday I just want to go to sleep. May God bless you for everything![HAPPY]
#Person1#:[HAPPY] But Jude, I mean it - if you need me, I'll be there in a flash
#Person2#: I know[HAPPY]","#Person2#'s uncle, Ben died. #Person1# read about the funeral after the fact."
"#Person1#: Will you call me when dad is at home?
#Person2#: Sure
#Person1#: ty:*",#Person2# will call #Person1# when dad is at home.
"#Person1#: I think I should stop reading the rules after we already played a game
#Person1#: found two things we were doing wrong today
#Person2#: maybe it shows that you should keep reading them
#Person2#: so what we were doing wrong?
#Person1#: first the basic follow-up only gives you temp influence and not the permanent one (so my whole strategy for the day was basically based on a wrong rule:P)
#Person1#: and second, you only get the income for the resources you own (tokens on top) and not for everything you have access to
#Person2#: the map had full symbol drawn for the action so I also thought it was permanent influence
#Person2#: had no idea about the second one
#Person3#: the second rule means money would be much more sparse
#Person1#: well yes but it gives you a reason to build an already existing building again
#Person1#: with the rules we played with there was no sense in doing that
#Person3#: true
#Person3#: yet another game we need to play again with the right rules[WINK]
#Person1#: additionally during the vote phase, if there is a draw the first decision is taken by the player with the least amount of points and not the closest to the player initiating the vote
#Person2#: makes sense
#Person2#: but I'm not sure about the income phase, it's written that you get income for import
#Person4#: well yes but technically the import action is building your own buildings
#Person1#: so no matter how you look at it with import you'll always be on top with your token and get the income
#Person2#: right
#Person2#: well just like Emily said we need to play this again
#Person3#: we can always do it during the next meeting
#Person1#: as usual I'm up for anything
#Person1#: but if we'll play a new game, let me read the rules first:P",#Person1# found out that they misunderstood the rules of the game. #Person3# and #Person2# think they should play the game again.
"#Person1#: Duuude pick up ur phone or open the door
#Person2#: its 5am in the morning theres a reason i did not answer the phone [CONFUSED]
#Person1#: i just need something
#Person2#: im sure it can wait
#Person1#: no it can not >>__<<
#Person2#: go to hell let me sleep",#Person1# wants #Person2# to pick up or open the door. It's 5 AM. #Person2# won't oblige as he wants to sleep.
"#Person1#: Hi
#Person2#: Oh, hi!
#Person1#: The exam was a disaster
#Person2#: Oh
#Person1#: Yeah, I'm never gonna pass
#Person2#: Never say never... how long do you have to wait for the results?
#Person1#: Until Monday, more or less
#Person2#: Ok
#Person1#: It was mostly a multiple choice thing but it was still difficult as fuck
#Person2#: What was the name of the subject again?
#Person1#: 19th Century European History
#Person2#: Ok
#Person1#: I almost soiled my pants when I saw the questions
#Person2#: Marty, please... gross
#Person1#: Gross but honest:P",#Person1#'s exam was very difficult. He doesn't think he passed it.
"#Person1#: Hi there, why don't you visit us at our new place? Friday evening?
#Person2#: Awesome! so curious to see the apartment!
#Person2#: where do you exactly live?
#Person1#: Copernicus st 5/12
#Person1#: just be careful
#Person1#: you can meet some boars on your way[LAUGH]
#Person2#: whaaat?!
#Person2#: real ones??
#Person3#: seriously?
#Person1#: easy mates
#Person1#: we live close to a forest so it's normal
#Person1#: but we rarely see them. come on, it's not dangerous[LAUGH]
#Person3#: if u say so...
#Person2#: chill[HAPPY]",#Person2# and #Person3# are going to visit #Person1# in her new apartment Friday evening. #Person1# warns them that they might meet boars on the way as she lives close to a forest.
"#Person1#: Hey dude, whats up?
#Person2#: Beer tonight?
#Person1#: Ayeee, where at?
#Person2#: At Janes
#Person1#: Ahhh man u know I hate her;/ wait, did you…
#Person2#: how do u think;>","#Person2# wants to go drink beer at Jane's, but #Person1# hates her."
"#Person1#: Hi everyone
#Person1#: Our Aiesec meeting is at 7pm today
#Person1#: We had to reschedule it
#Person2#: Where?
#Person1#: Arts 203
#Person3#: I cant at 7 today
#Person1#: Thats fine
#Person1#: Not your fault",The Aiesec meeting was rescheduled for 7 pm today. It will take place in Arts 203.
"#Person1#: when we r going to lunch?
#Person2#: 2 pm?
#Person1#: ok, that suits me",Lunch is at 2 pm.
"#Person1#: Don't come to the bar
#Person2#: why? what happened?
#Person1#: remember your ex, Trevor?
#Person2#: Yeah...?
#Person1#: He's here with Amy
#Person2#: WHAT
#Person1#: Yep, let's just pick another bar
#Person2#: couldnt agree more",#Person1# and #Person2# are going to go to another bar in order to avoid Trevor. Trevor is #Person2#'s ex and he is here with Amy.
"#Person1#: are you ok with 6PM at Mammals?
#Person2#: I won't manage, but you can start without me
#Person3#: too early for me as well
#Person4#: by 8PM I won't make it
#Person5#: haha, seems I'm the only one who's ok with it, let's move it to 8PM
#Person1#: ok, as you prefer, but free drinks end at 7.30
#Person2#: so I would say everybody comes when they can
#Person1#: right, I'll be there at 6.30, but I may be tipsy at 8
#Person5#: tipsy? drunk as a skunk
#Person1#: I'll do my best to do it smoothly
#Person4#: we all know you, just enjoy the free drinks[WINK]
#Person1#: hahaha
#Person1#: see you there
#Person2#: see you!",#Person5# suggest to move the meet up at Mammals from 6pm to 8pm as more people are available. As free drinks end at 7.30 the conclusion is for everyone to join #Person1# and #Person5# whenever they can after 6.
"#Person1#: Cheers, have you got the stuff?
#Person2#: Half of it.
#Person1#: How come?! They promised a whole bucket.
#Person2#: No sweat! More deliveries will be coming later.
#Person1#: When?
#Person2#: Dunno. In the afternoon.
#Person1#: Look, I'm halfway through this bloody painting.
#Person2#: I'm doing my best buddy. Believe me.
#Person1#: You'd better fix it.
#Person1#: ASAP
#Person2#: Sure mate. Something else. Need to borrow your car.
#Person1#: Whatever for?
#Person2#: To fetch your stupid paint. Serious. Mine's broken down.
#Person1#: When?
#Person2#: This morning.
#Person1#: When will you need it?!
#Person2#: This afternoon.They said they'd get the paint by then.
#Person1#: Ya golden. Why don't you take a taxi?
#Person2#: Too expensive. Or will you pay for it?
#Person1#: 10. OK?
#Person2#: OK. Fixin' it.",#Person2# managed to get half a bucket of paint for #Person1#. He will get more in the afternoon. #Person2#'s car broke down this morning. #Person1# won't lend him the car but he'll pay for the taxi.
"#Person1#: its her birthday..
#Person2#: wat
#Person1#: in 2 days.. its her birthday:3
#Person2#: dude dont
#Person1#: what do you mean
#Person2#: u know exactly what i mean
#Person1#: dude im just saying..
#Person2#: NO:/
#Person1#: WHAT
#Person2#: u guys havent talked in weeks
#Person1#: so
#Person2#: okay do whatever u want
#Person1#: i am gonna:P
#Person2#: yeah, i cant stop u._.",#Person1# remembers it's her birthday in 2 days.They haven't speak for weeks. #Person2# is against.
"#Person1#: Hi love, you OK?
#Person2#: Yep, college was full on, then I had work, absolutely knackered now!
#Person1#: I know what you mean, the store was madness today, lots of difficult customers!
#Person2#: I'm sure you handled it well, babes!
#Person1#: Well, hope so. Just chilling out with a bit of Apprentice on IPlayer.
#Person2#: Haven't watched it this year, what are the idiots up to?
#Person1#: Ooh, it's excellent this time, lots of bitching, backstabbing and foolish choices, cringy puns too!
#Person2#: Sounds great, might look it up for a laugh!
#Person1#: Yeah, good idea! I mean, why did they think that Jetpop would be a good name for an airline, complete with exploding icon for the O in Pop!
#Person2#: They never did! I bet they lost!
#Person1#: Yes, they did indeed! Then there was the one when they decided that Siracha hot sauce was a good idea on top of doughnuts!
#Person2#: Oh my God, I've got to see that, it sounds bloody terrible!
#Person1#: Better get back to it, anyway! Don't overdo it, love! Pop into the shop on the weekend to say Hi.
#Person2#: Will do! I need some new jeans anyway. Bye love!
#Person1#: Bye!",#Person2# is exhausted after a long day. #Person1# is watching Apprentice on IPlayer. #Person2# hasn't watched it this year.
"#Person1#: Do you have any new messages from Kylie?
#Person2#: Yes, she sent me some photos.
#Person2#: You want some too?
#Person1#: Sure[HAPPY]
#Person1#: So beautiful....
#Person1#: I would like to be there with her…
#Person2#: Not only u[HAPPY]",Kylie sent #Person2# some photos. #Person2# forwarded the photos to #Person1#.
"#Person1#: Have Zain invited you in his party?
#Person2#: Yeah, you?
#Person1#: Yes",Zain has invited #Person1# and #Person2# to his party.
"#Person1#: i found it, FINALLY!!
#Person2#:??
#Person1#: the sweatshirt i was looking for
#Person2#: that Flash tee?
#Person1#: yeah[LAUGH]
#Person2#: you're not actually gonna order it, right?
#Person1#: why was i looking for it online then:/
#Person2#: are you kidding me
#Person1#: i am not, i like it man
#Person2#: okay Nerd!
#Person1#: i'm not a nerd
#Person2#: actually you are
#Person1#: shut up[CONFUSED]
#Person2#: [LAUGH]",#Person1# is going to buy the Flash T-shirt he has been looking for. #Person2# disapproves of it and thinks it is nerdy.
"#Person1#: Why r u so sad?
#Person2#: Something's happened?
#Person1#: Nope, I just feel a bit low today[SAD]
#Person2#: Wanna meet today?
#Person1#: Sure!",#Person2# suggested a meeting with #Person1# to cheer her up.
"#Person1#: You ready to go?
#Person2#: Yep
#Person1#: Ok, let's meet next to the bus station, I'll come for you
#Person2#: Gr8[HAPPY]
#Person1#: I will be there within 10min[HAPPY] So at you house Danny within 20-25min
#Person3#: OK",#Person1# and #Person2# are meeting next to the bus station. They will be at #Person3#'s in 20-25 minutes.
"#Person1#: so how's the new affair going?[WINK]
#Person2#: hmm
#Person1#: what happened?
#Person2#: I'm not sure. I mean everything is fine but there's no chemistry. Maybe there's something wrong with me
#Person1#: There's nothing wrong with you. Don't let yourself think that. Maybe you just need more time
#Person2#: It's not like I wanna give up but sometimes I wonder if I should be forcing myself
#Person1#: Definitely not. But maybe try not to put so much pressure on it
#Person2#: I just don't understand it. And myself
#Person1#: You don't have to understand anything[HAPPY]
#Person2#: I mean there was definitely a spark at the beginning and now I really don't know what happened and how to get it back
#Person1#: You probably started thinking too much[WINK]
#Person2#: Hahah probably. My head is my worst enemy
#Person1#: You just met, don't force it. Why would you want chemistry that just dies out after 3 months? Maybe deep down you're looking for something more serious or stable and that's why you actually don't wanna rush it? And you're older now. It's more difficult to fall madly in love when you are not so easily fooled anymore[WINK]
#Person2#: I get it. It's not even about falling in love. I just don't get what happened. I mean I can't be in a relationship with absolutely no chemistry at all
#Person1#: Well it went away so maybe it will come back[LAUGH] You can't overthink those things. They don't like it[WINK]
#Person2#: I probably am overthinking. We had a heart to heart and I feel much better after the talk
#Person1#: You want soulmates, intellectual connection, and chemistry - that's some high expectations for a new relation. Not everything at once
#Person2#: Yeah I would but I know I can't have it all
#Person1#: Of course you can. But some things work better overtime. On the other hand, do NOT force yourself into anything.
#Person2#: I'm not going to. I guess I've been lucky I found someone who is understanding and wants to discuss things
#Person1#: Exactly. And once you feel safer, chemistry might come back, because you won't be analyzing and thinking and worrying and pressuring yourself[WINK]
#Person2#: You're probably right.",#Person2# doesn't feel the chemistry in her new relationship anymore. #Person1# suggests that #Person2# is overthinking the situation and that #Person2# should give the relationship some time.
"#Person1#: can i ask you something?
#Person2#: ask
#Person1#: i'm going out with Marco and his friends
#Person1#: we will be in a club
#Person1#: and i need a make up inspiration
#Person2#: what will you wear?
#Person1#: black dress
#Person2#: so maybe classic smoky?
#Person1#: boring
#Person2#: smoky with colour accent?
#Person1#: i was thinking about half cut crease
#Person2#: hmm, maybe
#Person2#: have you done any before?
#Person1#: no..
#Person2#: so maybe something easier? you don't want to screw anything, right?
#Person1#: you're right
#Person2#: so maybe spotlight?
#Person2#: just blend a few shades of brown and put some metallic shadow in the middle
#Person1#: which colour do you suggest?
#Person2#: you have green eyes, so maybe purple?
#Person1#: okay ^^
#Person1#: thank you:*
#Person2#: no problem, just remember about blending!",#Person1# with the help of #Person2# is picking up make up for the night out with Marco and his friends.
"#Person1#: Hi, how are you doing?
#Person2#: Fine. And you?
#Person1#: Good. Just finished building a cupboard and need a pause. Do you fancy a drink?
#Person2#: Not today. I'm still working.
#Person1#: Pity.
#Person2#: Maybe tomorrow?
#Person1#: I don't know about tomorrow, cos we're going to install some benches at a school and it might take quite a while.
#Person2#: I see.
#Person1#: How about the weekend?
#Person2#: I'm free on Saturday evening.
#Person1#: Awsome! Saturday 19:00?
#Person2#: Great!",#Person1# has just finished building a cupboard. #Person2# is working. #Person1# is installing benches at a school tomorrow. #Person2# and #Person1# will meet for a drink on Saturday at 19:00.
"#Person1#: OMG, did u hear that Karen is on sick leave...:/
#Person2#: Are you joking?:O Again? It's like the 4th time in 3 mths.
#Person1#: Yeah & I'm stuck giving the presentation on my own again.
#Person1#: But u know, she'll take credit 4 it, when she returns.
#Person2#: No way, It's so obvious she's faking it...
#Person2#: You should really talk 2 Leanne about this, it's totally unfair.",Karen is on sick leave 4th time in 3 months. #Person1# has to give the presentation alone. She thinks Karen is faking the sickness.
"#Person1#: Hey, goodnight
#Person2#: good night, love you💖💋
#Person1#: love you too",#Person2# and #Person1# love each other and write to say goodnight.
"#Person1#: Change of plans!!
#Person2#: hm?
#Person1#: We're meeting in Starbucks
#Person2#: Why?
#Person1#: Cause otherwise Nancy would be an hour late.
#Person2#: well, okaaaay
#Person1#: same time, though.
#Person2#: OK, thanks for letting me know.","#Person1#, #Person2# and Nancy are meeting in Starbucks."
"#Person1#: Hello guys! How are you doing? We've lost contact for a few months now. Hope you are well.
#Person2#: A happy hello to you Beryl! Great to hear from you. We are fine, thanks. And yourself?
#Person1#: I'm very well indeed. Thank you. Any changes in your setup?
#Person2#: Not really. SOS. Same Old Soup[WINK] But we are happy for that.
#Person1#: Are you still running your lovely airbnb?
#Person2#: Oh yes, we are. We had a few months off during summer, our summer, but now bookings start flowing in. Well... Are you planning to visit us? You two are always welcome!
#Person1#: You caught me here. I'm vaguely considering going down to Onrus again, most likely in January. What does it look like with vacancies then?
#Person2#: Perfect! Just give me your dates and I'll keep it booked for you.
#Person1#: Would you prefer me to do it via airbnb website or just like this directly with you?
#Person2#: I think it'll be more advantageous for both of us to do it directly. Do you know exactly when you'll be coming?
#Person1#: Not so much. Can I get back to you in 2, 3 days' time?
#Person2#: ASAP really. As I say we've been receiving bookings daily now.
#Person1#: Well, no big deal. I'll be staying in Cape Town for a longer time and am quite flexible in my dates.
#Person2#: Will you be coming with Tino, if I may ask?
#Person1#: No. I am single again. Hurray! So pls make it single occupancy any week in January, Anton.
#Person2#: Great! 4th till 12th?
#Person1#: Very good. I'll call you beforehand from Cape Town. Greetings to you both!
#Person2#: Take care!",#Person1# will be staying in #Person2#'s airbnb in Onrus from 4th January until 12th January.
"#Person1#: Remember the fortune-teller I told you about?
#Person1#: I went to see her
#Person2#: and are you now afraid to leave your own house?
#Person1#: No:P
#Person3#: Wow, exciting! How was it?
#Person1#: It was weird. You know I thought that she may be a crook, but I wanted to try anyway
#Person3#: Was it like in the films? She knew your name and everything about you when you walked in?
#Person1#: Hahaha no, we just talked for the most part. She asked me why I decided to come, etc.
#Person2#: isn't she supposed to know stuff like that?
#Person1#: She's a fortune-teller not a wizard:P
#Person3#: What did she tell you?
#Person1#: She apparently doesn't see things in the future like... she's watching a film, but in more... symbolic way
#Person1#: She said she saw shoes, a door, a pair of big men's shoes and one pair of one shoes
#Person2#: shoes?
#Person1#: Don't you get it?
#Person3#: Not really
#Person1#: I'll meet someone and will have a kid!
#Person2#: aren't you misinterpreting things?
#Person3#: Did she tell you that it was what it meant?
#Person1#: No, she's not supposed
#Person2#: How much did you pay her?
#Person1#: 60
#Person2#: 60 quid just to hear that she sees shoes!
#Person1#: Laugh all you want, but I think she's legit, you'll see",#Person1# went to see a fortune teller and paid 60 quid for the meeting.
"#Person1#: You have notes from the last lecture
#Person2#: I do, why
#Person1#: Broooo send me pictures
#Person2#: Again [CONFUSED]
#Person1#: You know im busy
#Person2#: Yea, smoking weed and fuckin girls, that’s what you do
#Person1#: Man my mum is at hospital!!!
#Person2#: And you never visit her!
#Person1#: Just gimme the fuckin notes
#Person2#: ok but this is the last time
#Person1#: Ill make up for it, be sure",#Person2# will send #Person1# notes from the last lecture but it will be the last time he does it. #Person1#'s mum is at hospital.
"#Person1#: Hey dude, what’s up?
#Person2#: Nothing much buddy. How’s everything with you?
#Person1#: All good. Yesterday I went to a 7-star Hotel restaurant.
#Person2#: Wow, that’s amazing buddy. I missed it.
#Person1#: It’s not amazing.
#Person2#: Why, what happened?
#Person1#: When I was there, I really needed to pass gas.
#Person2#: And?
#Person1#: The music was really loud, so I did it.
#Person2#: And?
#Person1#: I realized I was listening to my iPod.
#Person2#: hahaha hahaha","#Person1# had to break wind, while being in a fancy restaurant. He sought to do it silently. He failed."
